,paperID,rank,referenceCount,citationCount,ConferenceID,JournalID,year
count,1171.0,1171.0,1171.0,1171.0,295.0,336.0,1171.0
mean,2369772115.1929975,22093.927412467976,14.382578992314262,15.301451750640478,1807274753.1830509,1032906698.3452381,2013.1528608027327
std,740549437.3893818,1519.36177132454,27.680944795944114,93.51809819600861,767474087.1554687,1255126567.9211683,6.174086867417686
min,5999840.0,16518.0,0.0,0.0,1120209348.0,5986019.0,1967.0
25%,2078652038.0,20983.5,0.0,0.0,1163450153.0,84775595.0,2010.0
50%,2508722633.0,22044.0,6.0,1.0,1191926394.0,146429816.0,2014.0
75%,2949739424.5,23235.0,20.0,6.0,2754362256.0,2596750624.0,2018.0
max,3209077357.0,27123.0,634.0,2133.0,2898476843.0,3121261024.0,2022.0
