,rank,referenceCount,citationCount,ConferenceID,JournalID,year,isKeyPaper
count,1703.0,1703.0,1703.0,1703.0,0.0,1703.0,1703.0
mean,22185.603053435116,12.631238990017616,11.767469172049324,1191926394.0,,2009.4157369348209,1.0
std,1514.4199274330813,12.76153928379072,33.225150789744625,0.0,,8.443830386283901,0.0
min,17766.0,0.0,0.0,1191926394.0,,1988.0,1.0
25%,21062.5,0.0,0.0,1191926394.0,,2002.0,1.0
50%,21904.0,11.0,3.0,1191926394.0,,2010.0,1.0
75%,23268.5,19.0,12.0,1191926394.0,,2018.0,1.0
max,27286.0,131.0,644.0,1191926394.0,,2021.0,1.0
